,Susceptibles,Limite Inferior,Limite Superior
0,436227.2142857143,436227.2142857143,436227.2142857143
1,436197.5372238763,436198.13486181735,436196.93958593515
2,436167.7754909572,436169.01501935493,436166.5343897818
3,436138.0100173994,436139.93431308115,436136.0808869861
4,436108.36251198454,436111.01210556715,436105.70303294086
5,436080.0867810955,436083.48154910485,436076.67535539984
6,436052.8887642508,436057.0476320311,436048.7047564346
7,436025.81126600044,436030.7664215081,436020.8206184554
8,435998.714077959,436004.499748794,435992.88059149263
9,435971.59479957307,435978.24506358185,435964.8823417862
10,435944.336148496,435951.88749656326,435936.7060501231
11,435917.34878653346,435925.8283726291,435908.7717857262
12,435890.6540402783,435900.0872882414,435881.1025838402
13,435863.2651146281,435873.7016101476,435852.68694029073
14,435835.3057583094,435846.7939013967,435823.6496658107
15,435805.23353967,435817.86610491405,435792.4027790601
16,435773.1223136664,435786.99651556707,435759.01526710973
17,435739.4630281974,435754.66809919925,435723.9859307703
18,435704.60874159395,435721.2280427462,435687.67355995916
19,435667.9426292335,435686.08281205094,435649.4371021862
20,435628.8692286527,435648.6623263183,435608.6545888985
21,435588.1986457397,435609.75714772445,435566.1558140683
22,435545.7577388146,435569.2052554434,435521.75577128597
23,435501.0519359836,435526.5356955265,435474.93504245323
24,435454.7920788467,435482.4399981925,435426.42394924606
25,435407.44860918156,435437.37494862167,435376.7066682159
26,435356.7699865755,435389.18229918135,435323.43441568746
27,435304.29528343905,435339.3487389192,435268.1999763726
28,435249.9605663342,435287.8184101383,435210.93048403336
29,435195.45043248363,435236.2071099477,435153.3817359802
30,435141.2453853642,435184.9721040475,435096.05827126175
31,435087.2449350776,435134.01449944626,435038.8577962571
32,435034.08029014047,435083.9323493153,434982.4461084511
33,434980.7973575423,435033.8143195318,434925.82425121556
34,434928.552562175,434984.75663923007,434870.2116954317
35,434875.0065034743,434934.5376775392,434813.14519823645
36,434820.71953059745,434883.69129012985,434755.2125794134
37,434765.86039368634,434832.37850174383,434696.590413418
38,434710.03711879335,434780.2302978123,434636.86218808533
39,434654.1433691535,434728.09136836603,434576.9729769022
